,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
11029,4.99120263,0.99824053,110,['0110'],TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",[5]
11030,2.99706468,0.99902156,110,"['1110', '0111', '0110']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3]"
11031,4.99120263,0.99824053,110,['0110'],TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",[5]
11032,4.99120263,0.99824053,110,['0110'],TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0)",[5]
11033,2.99706468,0.99902156,110,"['1110', '0110', '0100']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3]"
11034,3.99705609,0.99926402,110,"['1110', '0110', '0010']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[4, 4, 4]"
11035,5.98534918,0.9975582,110,['0110'],TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1)",[6]
11036,3.47063201,0.867658,110,"['0110', '0010']",TRUE,0.61613518,0.64998469,0.86664625,0.8975979,1.12199738,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[4, 4]"
11037,4.966111,0.82768517,110,['0110'],TRUE,0.67564548,0.64998469,0.86664625,1.34639685,0.8975979,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[6]
11038,4.966111,0.82768517,110,['0110'],TRUE,0.67564548,0.64998469,0.86664625,1.34639685,0.8975979,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0)",[6]
11039,3.47063201,0.867658,110,"['1110', '0110']",TRUE,0.61613518,0.64998469,0.86664625,0.8975979,1.12199738,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[4, 4]"
11040,4.70690113,0.78448352,110,['0110'],TRUE,0.65462955,0.64998469,0.86664625,1.34639685,0.8975979,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0)",[6]
11041,3.42766352,0.85691588,110,"['1110', '0110', '0010']",TRUE,0.49506368,0.43332312,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[4, 4, 4]"
11042,3.42766352,0.85691588,110,"['1110', '0110', '0010']",TRUE,0.49506368,0.43332312,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[4, 4, 4]"
11043,4.70690113,0.78448352,110,['0110'],TRUE,0.65462955,0.64998469,0.86664625,1.34639685,0.8975979,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",[6]
11044,5.98827161,0.99804527,110,['0110'],TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0)",[6]
11045,3.99413366,0.99853341,110,"['0110', '0010']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[4, 4]"
