,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
9109,2.22818513,0.55704628,0,['0000'],TRUE,0.27706374,0.5920297,0.89394913,0.89590085,0.66153641,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1)",[4]
9110,2.6917081,0.67292702,100,['0100'],TRUE,0.43673333,0.78090303,1.18476268,1.02391566,0.79859606,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0)",[4]
9111,2.6917081,0.67292702,0,['0000'],TRUE,0.43673335,0.78090401,1.18476293,1.02391554,0.79859611,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[4]
9112,1.75018806,0.87509403,100,"['1100', '1000', '0110', '0100', '0010', '0000']",TRUE,0.26823669,0.59589943,0.97740075,1.11618657,0.86699058,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0)","[2, 2, 2, 2, 2, 2]"
9113,2.78439849,0.69609962,0,"['0100', '0000']",TRUE,0.33180756,0.6221255,0.93611369,1.20295993,0.77075113,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[4, 4]"
9114,2.31374271,0.57843568,100,['0100'],TRUE,0.28851614,0.61610026,1.01712325,1.02944757,0.67488082,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0)",[4]
9115,2.31374271,0.57843568,0,['0000'],TRUE,0.28851611,0.61610081,1.01712607,1.0294498,0.67488257,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0)",[4]
9116,2.47839011,0.61959753,100,['0100'],TRUE,0.34277544,0.63011005,1.08757181,1.17980509,0.73456464,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0)",[4]
9117,2.47839011,0.61959753,0,['0000'],TRUE,0.34277526,0.63010863,1.08756528,1.17980647,0.73456171,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",[4]
9118,2.87194149,0.71798537,100,['0100'],TRUE,0.52270529,0.79799702,1.21646235,0.96223395,0.63017742,"(1, 0, 0, 1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0)",[4]
9119,2.87194149,0.71798537,0,['0000'],TRUE,0.52270502,2.34360188,5.06672244,0.96224005,0.63018276,"(1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",[4]
9120,2.91682722,0.7292068,100,['0100'],TRUE,0.51535014,0.73868506,1.33315351,1.33315386,0.73868473,"(1, 0, 0, 1, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0)",[4]
9121,2.91682722,0.7292068,0,['0000'],TRUE,0.51535035,0.73868619,1.33315503,1.33315443,0.73868553,"(1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",[4]
9122,1.71648319,0.85824159,0,"['1100', '1000', '0111', '0100', '0011', '0000']",TRUE,0.22960058,0.62932123,1.28128574,0.94690343,0.41708517,"(1, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2, 2, 2]"
9123,3.04146557,0.76036639,0,"['0100', '0000']",TRUE,0.3845215,0.65352446,0.93352818,1.52887224,0.98930965,"(1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)","[4, 4]"
9124,2,1,110,"['1100', '1000', '0111', '0110', '0100', '0011', '0010', '0000']",TRUE,0.27942912,3.59685606,1.00777441,1.38102187,0.68305686,"(1, 0, 0, 1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2, 2, 2, 2, 2]"
9125,3.16312734,0.79078184,100,"['0100', '0000']",TRUE,0.43693402,0.73828698,1.17241783,1.55114268,1.03358243,"(1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[4, 4]"
9126,2.22818513,0.55704628,100,['0100'],TRUE,0.27706375,0.59202958,0.89394935,0.89590072,0.66153643,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1)",[4]
9127,2.22818513,0.55704628,110,['0110'],TRUE,0.27706382,0.59203074,0.89394895,0.89590011,0.66153739,"(1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",[4]
